Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle,Region_clean
181042, ARMM,96289,Wage/Salaries,0,34605,21754,3640,11780,6600,7275,11000,0,5883,2710,6600,2400,840,5904,1470,1530,4848,10000,0,54960,Male,45,Married,Second Year High School,With Job/Business,Motorcycle drivers,Worked for private establishment,Single Family,9,1,6,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,20,15,1,Own or owner-like possession of house and lot,Open pit,1,Dug well,1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
145082, ARMM,94372,Enterpreneurial Activities,1,39402,23240,1040,22715,2340,7565,5690,0,9955,2520,8100,2400,784,2580,1350,1490,6078,0,12480,122160,Male,40,Married,Grade 1,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,8,0,4,1,Single house,"Light material (cogon,nipa,anahaw)",Light,17,15,0,"Own house, rent-free lot with consent of owner",Open pit,1,Dug well,1,0,0,0,0,0,0,0,1,0,0,2,0,ARMM
118355, ARMM,70771,Enterpreneurial Activities,1,26741,18226,140,20838,1451,5695,3660,0,3948,1290,6480,2400,280,3120,1500,5130,3180,0,0,93780,Male,39,Married,No Grade Completed,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,6,1,1,0,Single house,"Light material (cogon,nipa,anahaw)",Light,11,15,0,Own or owner-like possession of house and lot,Open pit,1,Dug well,1,0,0,0,0,0,0,0,1,0,0,1,0,ARMM
141114, ARMM,79765,Enterpreneurial Activities,1,26047,13533,280,27220,1978,5933,2814,0,7505,2750,5700,3000,1000,5040,0,1350,3900,0,0,124784,Male,31,Married,Grade 4,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,6,1,3,0,Single house,"Light material (cogon,nipa,anahaw)",Light,11,15,1,Own or owner-like possession of house and lot,Open pit,0,Dug well,0,0,0,0,0,0,0,0,0,0,0,1,0,ARMM
109872, ARMM,65755,Enterpreneurial Activities,1,23566,15941,810,13083,1333,5739,8560,0,2715,1160,8280,3000,256,5520,1740,1400,4044,0,0,92760,Male,36,Married,Elementary Graduate,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,6,0,4,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,32,15,0,"Own house, rent-free lot with consent of owner",Open pit,1,Dug well,1,1,0,0,0,0,0,0,1,0,0,1,0,ARMM
116622, ARMM,66080,Wage/Salaries,1,24664,15901,1040,14241,2121,6455,1970,0,3948,3740,11220,6000,256,5580,1380,640,4878,0,0,36720,Female,63,Widowed,No Grade Completed,With Job/Business,Hand launderers and pressers,Worked for private household,Single Family,4,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,26,20,1,"Own house, rent-free lot with consent of owner",Others,1,Dug well,0,0,0,0,0,0,0,0,0,0,0,1,0,ARMM
128442, ARMM,66778,Enterpreneurial Activities,0,21370,15353,890,16590,1490,5218,9360,0,9050,4200,7950,3600,445,2520,720,1560,4896,0,0,77080,Male,32,Married,Grade 1,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,6,1,3,0,Single house,Salvaged/makeshift materials,Light,20,20,0,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, shared with other household",1,Dug well,1,0,0,0,0,0,0,0,0,0,0,1,0,ARMM
103085, ARMM,64069,Enterpreneurial Activities,1,21534,14694,280,14045,1760,6180,4440,0,5445,1870,5400,3000,300,5040,0,1470,4050,0,0,81390,Male,45,Married,No Grade Completed,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,5,0,3,1,Single house,"Light material (cogon,nipa,anahaw)",Light,18,17,0,"Own house, rent-free lot with consent of owner",Others,0,Dug well,0,0,0,0,0,0,0,0,0,0,0,1,0,ARMM
108472, ARMM,66383,Enterpreneurial Activities,1,23282,15688,2300,10856,4265,6383,2740,0,0,1460,9420,4800,440,4680,3300,820,4530,0,55760,55760,Male,46,Married,Grade 2,With Job/Business,Coconut farmers,Self-employed wihout any employee,Single Family,4,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,20,2,"Own house, rent-free lot with consent of owner",Closed pit,1,Dug well,1,1,0,0,0,0,0,0,1,0,0,0,0,ARMM
94680, ARMM,55263,Enterpreneurial Activities,1,21051,15207,140,11046,2020,6476,1370,0,3449,660,9228,4800,570,3900,1620,590,3924,0,0,84720,Male,30,Married,Grade 3,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,5,2,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,11,17,2,Own or owner-like possession of house and lot,Open pit,1,Dug well,1,0,0,0,0,0,0,0,1,0,0,1,0,ARMM
