Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle,Region_clean
144437,IVB - MIMAROPA,64609,Other sources of Income,0,23903,18340,4567,5000,1447,2505,13946,360,0,1860,23586,12000,29151,10812,3174,10150,5538,3000,13297,17335,Male,66,Married,Elementary Graduate,With Job/Business,Other livestock farmers,Self-employed wihout any employee,Single Family,3,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,45,33,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,1,1,0,0,0,1,0,0,0,0,IVB - MIMAROPA
56094,IVB - MIMAROPA,27218,Other sources of Income,0,9013,4007,2795,5835,1000,2485,0,0,0,0,7554,4800,4379,3900,0,0,2118,300,0,1130,Male,79,Single,High School Graduate,With Job/Business,Chicken farmers,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,13,23,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
215758,IVB - MIMAROPA,73780,Wage/Salaries,0,21383,15257,7540,22914,975,1146,6355,0,0,1480,17304,9000,1284,18882,4056,0,7092,500,0,75028,Male,59,Married,Elementary Graduate,With Job/Business,General managers/managing proprietors n. e. c.,Self-employed wihout any employee,Single Family,3,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,22,22,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,2,0,1,0,0,IVB - MIMAROPA
159295,IVB - MIMAROPA,72120,Other sources of Income,0,26575,20400,6053,5324,3900,7141,13106,2652,0,3020,13914,6000,346,15570,2964,15040,5286,7250,17495,17495,Female,60,Widowed,Grade 5,With Job/Business,Hand launderers and pressers,Worked for private household,Single Family,5,1,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,25,18,0,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
140240,IVB - MIMAROPA,80152,Other sources of Income,0,9870,8015,22828,10753,1670,4940,12665,3250,0,4105,14256,6000,2001,17442,4002,10626,6924,1500,0,0,Female,28,Single,First Year College,With Job/Business,Shop salespersons and demonstrators,Worked for private establishment,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,13,29,0,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
1073459,IVB - MIMAROPA,264104,Other sources of Income,0,41639,21492,37408,32084,9150,15060,25580,0,0,23185,69060,40200,11738,31920,21174,17980,35046,73720,57882,77313,Male,54,Single,Post Baccalaureate,With Job/Business,Traditional chiefs and heads of villages,Worked for government/government corporation,Single Family,4,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,160,16,5,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",5,3,0,4,0,0,3,1,4,0,2,0,3,IVB - MIMAROPA
355359,IVB - MIMAROPA,148752,Wage/Salaries,0,15302,10140,41236,28008,3730,9970,7060,11250,0,6435,54018,36000,11961,17964,13746,590,34818,8000,0,0,Male,59,Married,Business and Administration Programs,No Job/Business,,,Single Family,4,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,52,15,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",3,1,0,1,1,0,0,0,3,1,1,0,0,IVB - MIMAROPA
93413,IVB - MIMAROPA,62567,Wage/Salaries,0,13506,10530,10641,9186,613,6219,12815,5785,0,920,10260,6000,553,14592,1794,13609,4584,1875,24065,25775,Male,58,Married,Elementary Graduate,With Job/Business,Vegetable farmers,Self-employed wihout any employee,Single Family,4,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,19,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
359727,IVB - MIMAROPA,80374,Wage/Salaries,0,16239,12450,15692,16703,1902,10055,3210,7020,3801,7354,27114,9000,3905,15786,4470,11900,26574,2000,3522,4552,Male,47,Married,Second Year High School,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,4,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,9,16,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,3,2,1,0,1,IVB - MIMAROPA
87905,IVB - MIMAROPA,71449,Wage/Salaries,0,19517,11076,9962,17262,2120,6400,1810,0,0,1525,12150,0,1681,930,1980,0,4332,1000,0,0,Male,43,Married,High School Graduate,With Job/Business,Building construction laborers,Worked for private establishment,Single Family,4,2,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,7,35,1,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,1,0,0,0,IVB - MIMAROPA
